ID,Sales_agent,Product_name,Company_name,Deal_stage,Engage_date,Close_date,Close_value,sector,Year_established,Revenue,Employees,Office,Product_series,Sales_price,manager,Regional_office
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,retail,2001-01-01,718.62,2448.0,United States,GTX,1096.0,Dustin Brinkmann,Central
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50.0,retail,2001-01-01,718.62,2448.0,United States,MG,55.0,Melvin Marxen,Central
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0,software,1998-01-01,2714.9,2641.0,United States,GTX,550.0,Dustin Brinkmann,Central
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0,services,1982-01-01,792.46,1299.0,United States,GTX,550.0,Summer Sewald,West
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49.0,medical,1992-01-01,3922.42,6837.0,United States,MG,55.0,Dustin Brinkmann,Central
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57.0,retail,1989-01-01,1388.67,3583.0,United States,MG,55.0,Celia Rouche,West
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601.0,entertainment,1993-01-01,4269.9,6472.0,United States,GTX,550.0,Celia Rouche,West
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,medical,1984-01-01,441.08,1210.0,United States,GTX,1096.0,Melvin Marxen,Central
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53.0,medical,2012-01-01,587.34,1356.0,Philipines,MG,55.0,Dustin Brinkmann,Central
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,marketing,2008-01-01,894.37,1593.0,Poland,GTX,5482.0,Summer Sewald,West
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631.0,telecommunications,1999-01-01,1699.85,5108.0,United States,GTX,5482.0,Summer Sewald,West
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393.0,employment,1988-01-01,2059.9,3644.0,United States,MG,3393.0,Celia Rouche,West
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,0.0,telecommunications,1999-01-01,1699.85,5108.0,United States,MG,55.0,Celia Rouche,West
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0,software,1996-01-01,6354.87,16780.0,United States,MG,3393.0,Celia Rouche,West
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61.0,telecommunications,1988-01-01,5266.09,8595.0,United States,MG,55.0,Dustin Brinkmann,Central
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46.0,telecommunications,1994-01-01,1188.42,3015.0,United States,MG,55.0,Celia Rouche,West
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0.0,retail,1990-01-01,4968.91,7523.0,United States,GTX,5482.0,Summer Sewald,West
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0,medical,1992-01-01,3922.42,6837.0,United States,MG,55.0,Dustin Brinkmann,Central
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,finance,1993-01-01,646.1,883.0,United States,GTX,1096.0,Cara Losch,East
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561.0,services,1997-01-01,2041.73,5276.0,United States,GTX,550.0,Melvin Marxen,Central
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0,entertainment,1992-01-01,324.19,978.0,United States,GTX,550.0,Summer Sewald,West
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,2016-11-10,,,retail,1995-01-01,5158.71,17479.0,Japan,MG,3393.0,Summer Sewald,West
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61.0,medical,2012-01-01,587.34,1356.0,Philipines,MG,55.0,Dustin Brinkmann,Central
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,0.0,entertainment,1989-01-01,3838.39,8274.0,United States,GTX,5482.0,Cara Losch,East
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,58.0,entertainment,1993-01-01,4269.9,6472.0,United States,MG,55.0,Celia Rouche,West
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,0.0,software,1979-01-01,4478.47,13809.0,United States,MG,3393.0,Cara Losch,East
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,67.0,marketing,1995-01-01,2173.98,2928.0,United States,MG,55.0,Dustin Brinkmann,Central
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578.0,retail,1990-01-01,4968.91,7523.0,United States,GTX,550.0,Summer Sewald,West
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,technolgy,1996-01-01,1100.04,2822.0,United States,GTX,550.0,Rocco Neubert,East
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0,services,2003-01-01,692.19,1922.0,United States,GTX,550.0,Celia Rouche,West
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,medical,1996-01-01,439.21,792.0,United States,MG,3393.0,Cara Losch,East
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,marketing,1984-01-01,3027.46,9516.0,Jordan,GTX,1096.0,Cara Losch,East
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0,medical,1984-01-01,441.08,1210.0,United States,MG,55.0,Dustin Brinkmann,Central
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,0.0,telecommunications,2007-01-01,86.68,187.0,United States,MG,55.0,Dustin Brinkmann,Central
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0.0,finance,1987-01-01,1698.2,3798.0,United States,GTX,550.0,Melvin Marxen,Central
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,marketing,1985-01-01,375.43,1190.0,United States,GTX,1096.0,Melvin Marxen,Central
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,retail,2007-01-01,894.33,1635.0,Italy,GTX,1096.0,Melvin Marxen,Central
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0,technolgy,2005-01-01,1520.66,1806.0,United States,MG,3393.0,Melvin Marxen,Central
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559.0,finance,2008-01-01,52.5,165.0,United States,GTX,550.0,Summer Sewald,West
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,0.0,retail,2001-01-01,2437.85,4874.0,United States,GTX,550.0,Celia Rouche,West
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0.0,technolgy,1983-01-01,1008.06,1238.0,United States,GTX,1096.0,Melvin Marxen,Central
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0,telecommunications,1999-01-01,1699.85,5108.0,United States,GTX,5482.0,Summer Sewald,West
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903.0,finance,2006-01-01,1102.43,1759.0,United States,GTX,1096.0,Melvin Marxen,Central
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180.0,employment,1988-01-01,2059.9,3644.0,United States,GTX,1096.0,Summer Sewald,West
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487.0,medical,1992-01-01,3922.42,6837.0,United States,GTX,550.0,Melvin Marxen,Central
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,finance,1987-01-01,1698.2,3798.0,United States,MG,3393.0,Dustin Brinkmann,Central
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,telecommunications,2007-01-01,86.68,187.0,United States,MG,3393.0,Melvin Marxen,Central
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585.0,medical,1994-01-01,2818.38,6290.0,United States,GTX,5482.0,Rocco Neubert,East
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897.0,entertainment,1992-01-01,324.19,978.0,United States,GTK,26768.0,Celia Rouche,West
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,marketing,2000-01-01,2952.73,5107.0,United States,GTX,1096.0,Summer Sewald,West
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,0.0,retail,2001-01-01,718.62,2448.0,United States,MG,3393.0,Dustin Brinkmann,Central
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559.0,technolgy,1987-01-01,2938.67,8775.0,Panama,GTX,550.0,Dustin Brinkmann,Central
0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,2016-11-20,,,services,2003-01-01,692.19,1922.0,United States,GTX,550.0,Summer Sewald,West
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033.0,marketing,1995-01-01,2173.98,2928.0,United States,GTX,1096.0,Melvin Marxen,Central
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462.0,software,1982-01-01,11698.03,34288.0,United States,GTX,550.0,Rocco Neubert,East
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,0.0,services,1987-01-01,405.59,1179.0,Brazil,MG,3393.0,Celia Rouche,West
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,medical,1992-01-01,3922.42,6837.0,United States,MG,3393.0,Dustin Brinkmann,Central
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0,marketing,2008-01-01,894.37,1593.0,Poland,GTX,1096.0,Summer Sewald,West
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62.0,medical,1991-01-01,326.82,1016.0,United States,MG,55.0,Cara Losch,East
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566.0,entertainment,2002-01-01,349.81,315.0,United States,GTX,550.0,Summer Sewald,West
